typ;name;aadr;eadr;sadr;dir;file;md5;doublette
I;Micro-BASIC'85;2000;340A;0000;z1013/Sammlung IGD/igd10b Text 1;I.Micro-BASIC '85.z80;d756c7fcb54e6f37858275d88eddf5cd;N
G;TAST2.SCR;2600;29C0;0000;z1013/a_ziermann/doc;G.TAST2.SCR.z80;c5f5f7a16d65bee9ac0480db62af87db;N
T;BASCOD52-61;3000;614C;0000;z1013/Sammlung IGD/igd20b Text;T.BASCOD 52-61.z80;7e855655d2f06a4147ad33aa52a043b2;N
C;FORTH-BACHMANN;0100;3900;0200;z1013/Sammlung IGD/igd07b MC 2;C.FORTH-BACHMANN.z80;c9e827f34afdbbbee8c04e9bccbc8e25;N
b;UFO;1000;1EC3;0000;z1013/Sammlung IGD/igd03b TINY 1;b.UFO.z80;4a94866e556c10b7e24b26a6208df86c;N
b;**AUTOMAT**1L;1000;1B74;0000;z1013/Sammlung IGD/igd03b TINY 1;b.AUTOMAT1 L.z80;24604bf3396e549d400b75177c0093fa;N
C;CYRUS;0100;405F;4050;z1013/Sammlung IGD/igd15a MC 4;C.CYRUS.z80;f50b1281e13e86f1c65b1f443a2961fa;N
C;BASCODERTEST2.2;0100;2AFF;0300;z1013/a_ziermann/lang/basic;C.BASCODER TEST2.2.z80;3d291fe13c4679d3e1072def58a5082e;N
C;BASCODERTEST2.2;0100;2AFF;0300;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/a;C.BASCODER TEST2.2.z80;3d291fe13c4679d3e1072def58a5082e;J
C;HINDERNISLAUF;0100;0500;0103;z1013/a_ziermann/games;C.HINDERNISLAUF.z80;18e8326c4083b6be338f25139bbcdae1;N
C;UNI-COPY.PRG;0100;1371;0000;z1013/a_ziermann/unsorted2/info;C.UNI-COPY.PRG.z80;d0efc32d074c3b1160ade9e117b7b3bc;N
C;DEMOLATION;0100;0B70;0B50;z1013/a_ziermann/games;C.DEMOLATION.z80;29431b667ecc454325512265ad258127;N
